"genes" "astrocyte"
"Bin2" 0.446223678736868
"1810037I17Rik" 629.625139154878
"Il1a" 0.375655171696591
"Pebp1" 605.953830083495
"Gm27676" 2.86926401549115
"Psmb6" 463.111993782566
"Lgals9" 58.9342618249261
"Ier2" 122.991343109744
"Rpl13" 306.331652873335
"Naxe" 422.447157793745
"Rap1b" 151.168419962879
"Hspb1" 814.29383381943
"Litaf" 540.134987948801
"Gde1" 565.340209101205
"Fis1" 566.731133577658
"Ndufb3" 473.876813657849
"Tspan2" 730.277607776818
"Psmb5" 493.970583832974
"Sec11c" 500.446269580794
"Pea15a" 592.990673300591
"Ndufs7" 525.783937843581
"Gstp-ps" 652.105190265758
"S1pr1" 764.038943891179
"Timp2" 171.63732754847
"Atraid" 375.599053030534
"Pltp" 862.095091072012
"Gabarap" 382.938393863973
"Mdh1" 412.295747836157
"Slc3a2" 367.136701644105
"Ntsr2" 739.997686105168
"Tmem14c" 311.009152337246
"Ndufa8" 456.201647537113
"Ccl12" 0.393862067548985
"Comt" 149.933781103386
"Tspan3" 576.356321611066
"Hapln2" 743.902565336833
"Cmtm6" 36.4289017685591
"Dynll1" 592.99503198395
"Arpc2" 153.514844263773
"Chmp2a" 443.529267789685
"Gpr84" 0.313982737270782
"Omg" 703.530919367142
"Rac1" 345.663311597906
"Ndufa13" 464.084895162224
"Gm5518" 475.800376616119
"Ywhae" 434.912633798858
"Atp5h" 497.262259813088
"Ighm" 1.58777782351975
"Tmem86a" 38.4955773630684
"Atp5a1" 440.949199803249
"Gm10925" 504.444132241812
"Ndufa4" 442.783281937285
"Gm15920" 417.91874955841
"Cox7c" 484.432495149643
"Cisd1" 573.408185112035
"Ifi27" 383.405958777252
"Eif5a" 349.4721537371
"Il33" 661.871208989133
"Timm8b" 447.212176787341
"Rps6" 317.971969365429
"Btf3" 396.106101743688
"Prkar1a" 409.453747843127
"Rpl4" 301.547151281155
"Degs1" 543.131709192862
"Ctsf" 194.818840090282
"Adi1" 575.408816178122
"Rps23" 242.108379041575
"Gm21984" 680.36252327398
"Myl6" 462.623795169333
"Mid1ip1" 526.703733204614
"Eif1b" 378.1079987478
"Ccl6" 0.389357772180681
"F3" 683.079093423458
"S100a9" 2.55256187093244
"H2afz" 294.451373281412
"Cd52" 1.12673858376654
"Emc4" 368.662687654089
"Capza2" 91.363175820039
"Atp6ap2" 302.846636297138
"Gm10241" 343.18530215715
"Clta" 117.91578226932
"Cyb5a" 375.423514569335
"Coa3" 365.088319153263
"Ndufb10" 432.111607444644
"mt-Atp6" 439.479627185381
"mt-Co3" 457.202223522901
"Gpm6a" 654.608279603346
"Dstn" 417.448347798599
"Sdhd" 314.389002693116
"Ddost" 237.569903125746
